comparison,term,ontology_count,source_text_count,in_both
hospital_final_vs_hospital_story,gennaro,0,3,False
hospital_final_vs_hospital_story,group,1,0,False
hospital_final_vs_hospital_story,held,3,1,True
hospital_final_vs_hospital_story,hold,1,1,True
hospital_final_vs_hospital_story,hospital,3,5,True
hospital_final_vs_hospital_story,improving,0,1,False
hospital_final_vs_hospital_story,inferiore,0,2,False
hospital_final_vs_hospital_story,institution,1,0,False
hospital_final_vs_hospital_story,italian,0,2,False
hospital_final_vs_hospital_story,knowledge,0,1,False
hospital_final_vs_hospital_story,library,2,1,True
hospital_final_vs_hospital_story,located,2,0,False
hospital_final_vs_hospital_story,location,2,0,False
hospital_final_vs_hospital_story,longitudinal,0,1,False
hospital_final_vs_hospital_story,male,0,1,False
hospital_final_vs_hospital_story,may,0,1,False
hospital_final_vs_hospital_story,medical,1,0,False
hospital_final_vs_hospital_story,member,4,0,False
hospital_final_vs_hospital_story,membership,8,0,False
hospital_final_vs_hospital_story,name,3,0,False
hospital_final_vs_hospital_story,new,0,1,False
hospital_final_vs_hospital_story,nocera,0,2,False
hospital_final_vs_hospital_story,number,0,1,False
hospital_final_vs_hospital_story,nurs,0,2,False
hospital_final_vs_hospital_story,nurse,3,2,True
hospital_final_vs_hospital_story,nursing,1,1,True
hospital_final_vs_hospital_story,occurrence,5,0,False
hospital_final_vs_hospital_story,organising,0,1,False
hospital_final_vs_hospital_story,organization,2,0,False
hospital_final_vs_hospital_story,ospedale,0,3,False
hospital_final_vs_hospital_story,page,3,1,True
hospital_final_vs_hospital_story,part,1,0,False
hospital_final_vs_hospital_story,pasquale,0,3,False
hospital_final_vs_hospital_story,patient,0,2,False
hospital_final_vs_hospital_story,person,5,0,False
hospital_final_vs_hospital_story,practice,0,1,False
hospital_final_vs_hospital_story,presentation,4,0,False
hospital_final_vs_hospital_story,presented,5,1,True
hospital_final_vs_hospital_story,program,0,1,False
hospital_final_vs_hospital_story,publication,3,0,False
hospital_final_vs_hospital_story,published,0,1,False
hospital_final_vs_hospital_story,read,0,1,False
hospital_final_vs_hospital_story,reference,0,1,False
hospital_final_vs_hospital_story,reified,1,0,False
hospital_final_vs_hospital_story,represent,1,0,False
hospital_final_vs_hospital_story,representative,1,1,True
hospital_final_vs_hospital_story,research,0,1,False
hospital_final_vs_hospital_story,riunito,0,3,False
hospital_final_vs_hospital_story,role,3,0,False
hospital_final_vs_hospital_story,seminar,7,2,True
hospital_final_vs_hospital_story,senior,0,1,False
hospital_final_vs_hospital_story,september,0,1,False
hospital_final_vs_hospital_story,setting,0,1,False
hospital_final_vs_hospital_story,some,0,1,False
hospital_final_vs_hospital_story,staff,0,1,False
hospital_final_vs_hospital_story,start,3,0,False
hospital_final_vs_hospital_story,statement,2,1,True
hospital_final_vs_hospital_story,stored,1,1,True
hospital_final_vs_hospital_story,studied,0,1,False
hospital_final_vs_hospital_story,study,0,1,False
hospital_final_vs_hospital_story,studying,0,1,False
hospital_final_vs_hospital_story,such,0,1,False
hospital_final_vs_hospital_story,temporal,1,0,False
hospital_final_vs_hospital_story,these,0,1,False
hospital_final_vs_hospital_story,title,1,0,False
hospital_final_vs_hospital_story,took,0,1,False
hospital_final_vs_hospital_story,tre,0,3,False
hospital_final_vs_hospital_story,union,13,2,True
hospital_final_vs_hospital_story,update,0,1,False
hospital_final_vs_hospital_story,valli,0,3,False
hospital_final_vs_hospital_story,venue,1,0,False
hospital_final_vs_hospital_story,version,1,1,True
hospital_final_vs_hospital_story,working,0,2,False
hospital_final_vs_hospital_story,written,0,1,False
hospital_final_vs_hospital_story,year,1,1,True
