direction,class_label,formula,taxonomic_overlap,exact_hit,source_uris,target_uris
generated_to_reference,Nurse,TO_prime,0.25,True,http://www.example.org/ontology/hospital#Cl_Nurse,http://www.owl-ontologies.com/Hospital.rdf#Nurse
generated_to_reference,Nursing Assistant Degree,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_NursingAssistantDegree,
generated_to_reference,Organization,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Organization,
generated_to_reference,Person,TO_prime,0.2857142857142857,True,http://www.example.org/ontology/hospital#Cl_Person,http://www.owl-ontologies.com/Hospital.rdf#Person
generated_to_reference,Person‑Degree Association,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_PersonDegree,
generated_to_reference,Publication,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Publication,
generated_to_reference,Role,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Role,
generated_to_reference,Seminar,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Seminar,
generated_to_reference,Seminar Occurrence,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_SeminarOccurrence,
generated_to_reference,Union,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_Union,
generated_to_reference,Union Group,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_UnionGroup,
generated_to_reference,Union Membership,TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_UnionMembership,
generated_to_reference,Union Membership (temporal),TO_double_prime,0.0,False,http://www.example.org/ontology/hospital#Cl_UnionMembership,
generated_to_reference,Union Representative,TO_double_prime,0.5,False,http://www.example.org/ontology/hospital#Cl_UnionRepresentative,
reference_to_generated,Accounting,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Accounting,
reference_to_generated,Appointment,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Appointment,
reference_to_generated,Bed,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Bed,
reference_to_generated,Department,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Department,
reference_to_generated,Doctor,TO_prime,0.25,True,http://www.owl-ontologies.com/Hospital.rdf#Doctor,http://www.example.org/ontology/hospital#Cl_Doctor
reference_to_generated,Expenditure,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Expenditure,
reference_to_generated,History,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#History,
reference_to_generated,HistoryUpdate,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#HistoryUpdate,
reference_to_generated,Income,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Income,
reference_to_generated,Infrastructure,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Infrastructure,
reference_to_generated,MiscellaneousOrder,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#MiscellaneousOrder,
reference_to_generated,Nurse,TO_prime,0.25,True,http://www.owl-ontologies.com/Hospital.rdf#Nurse,http://www.example.org/ontology/hospital#Cl_Nurse
reference_to_generated,Patient,TO_double_prime,0.5,False,http://www.owl-ontologies.com/Hospital.rdf#Patient,
reference_to_generated,Person,TO_prime,0.2857142857142857,True,http://www.owl-ontologies.com/Hospital.rdf#Person,http://www.example.org/ontology/hospital#Cl_Person
reference_to_generated,Prescription,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Prescription,
reference_to_generated,Reception,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Reception,
reference_to_generated,Record,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Record,
reference_to_generated,Room,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Room,
reference_to_generated,Salary,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Salary,
reference_to_generated,Staff,TO_double_prime,0.75,False,http://www.owl-ontologies.com/Hospital.rdf#Staff,
reference_to_generated,Ward,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Ward,
reference_to_generated,Wing,TO_double_prime,0.0,False,http://www.owl-ontologies.com/Hospital.rdf#Wing,
