direction,diagnostic,value,details
generated_to_reference,relations_where_ro_could_not_be_computed,19,city name: http://www.example.org/ontology/hospital#dp_cityName against all_target_properties (source_range_not_class)|country name: http://www.example.org/ontology/hospital#dp_countryName against all_target_properties (source_range_not_class)|date of the seminar occurrence: http://www.example.org/ontology/hospital#occurrenceDate against all_target_properties (source_range_not_class)|degree date: http://www.example.org/ontology/hospital#degreeDate against all_target_properties (source_range_not_class)|employment start date: http://www.example.org/ontology/hospital#startDate against all_target_properties (source_range_not_class)|has date: http://www.example.org/ontology/hospital#dp_hasDate against all_target_properties (source_range_not_class)|has evaluation date: http://www.example.org/ontology/hospital#hasEvaluationDate against all_target_properties (source_range_not_class)|has evaluation statement: http://www.example.org/ontology/hospital#hasStatement against all_target_properties (source_range_not_class)|has name: http://www.example.org/ontology/hospital#hasName against all_target_properties (source_missing_domain)|has page count: http://www.example.org/ontology/hospital#hasPageCount against all_target_properties (source_range_not_class)|has publication date: http://www.example.org/ontology/hospital#hasPublicationDate against all_target_properties (source_range_not_class)|has start date: http://www.example.org/ontology/hospital#hasStartDate against all_target_properties (source_range_not_class)|membership end date: http://www.example.org/ontology/hospital#membershipEndDate against all_target_properties (source_range_not_class)|membership start date: http://www.example.org/ontology/hospital#membershipStartDate against all_target_properties (source_range_not_class)|page count: http://www.example.org/ontology/hospital#dp_pageCount against all_target_properties (source_range_not_class)|page count: http://www.example.org/ontology/hospital#pageCount against all_target_properties (source_range_not_class)|publication year: http://www.example.org/ontology/hospital#publicationYear against all_target_properties (source_range_not_class)|seminar date: http://www.example.org/ontology/hospital#seminarDate against all_target_properties (source_range_not_class)|title: http://www.example.org/ontology/hospital#hasTitle against all_target_properties (source_missing_domain)
reference_to_generated,source_class_lexical_entries,22,
reference_to_generated,source_property_lexical_entries,56,
reference_to_generated,exact_class_lexical_hits,3,Doctor|Nurse|Person
reference_to_generated,exact_property_lexical_hits,0,
reference_to_generated,class_lexical_entries_missing_in_target,19,Accounting|Appointment|Bed|Department|Expenditure|History|HistoryUpdate|Income|Infrastructure|MiscellaneousOrder|Patient|Prescription|Reception|Record|Room|Salary|Staff|Ward|Wing
reference_to_generated,property_lexical_entries_missing_in_target,56,bedHasSize|currentPatientState|departmentHasName|departmentHasPhone|departmentUseWard|givenInstructions|givenPillName|hasAccountID|hasAffiliateDoctor|hasAffiliatedDepart|hasAffiliatedDepartment|hasAffiliatedPatient|hasAffiliatedStaff|hasAppointedDate|hasAppointedDoctor|hasAppointedPatient|hasAppointmentID|hasBilledPatient|hasHistoryRecID|hasHistoryUpdateID|hasHistoryUpdates|hasMedicalCase|hasOrderDate|hasPaymentAmount|hasPrescription|hasRelantionshipType|hasSpeciality|hasTotalBill|hasTotalCost|hasUpdateDate|headOfDept|infrastructureHasID|isEspeciallyInvolvedIn|isEspeciallyTreats|isInvolvedIn|isPatientType|nurseInspectWard|patientAge|patientDateAdmitted|patientDateDischarged|patientGender|patientHasAnAssignedBed|patientIsAttendedBy|patientIsAttendedIn|patientWeight|personHasAddress|personHasID|personHasName|personHasPhone|roomHasBeds|roomHasSize|theDoctorComments|wardHasRooms|wingHasDepartment|wingHasWard|worksIn
reference_to_generated,source_properties_missing_domain,0,
reference_to_generated,source_properties_missing_range,1,http://www.owl-ontologies.com/Hospital.rdf#patientGender
reference_to_generated,source_properties_domain_not_class,0,
reference_to_generated,source_properties_range_not_class,31,http://www.owl-ontologies.com/Hospital.rdf#bedHasSize|http://www.owl-ontologies.com/Hospital.rdf#currentPatientState|http://www.owl-ontologies.com/Hospital.rdf#departmentHasName|http://www.owl-ontologies.com/Hospital.rdf#departmentHasPhone|http://www.owl-ontologies.com/Hospital.rdf#givenInstructions|http://www.owl-ontologies.com/Hospital.rdf#givenPillName|http://www.owl-ontologies.com/Hospital.rdf#hasAccountID|http://www.owl-ontologies.com/Hospital.rdf#hasAppointedDate|http://www.owl-ontologies.com/Hospital.rdf#hasAppointmentID|http://www.owl-ontologies.com/Hospital.rdf#hasHistoryRecID|http://www.owl-ontologies.com/Hospital.rdf#hasHistoryUpdateID|http://www.owl-ontologies.com/Hospital.rdf#hasMedicalCase|http://www.owl-ontologies.com/Hospital.rdf#hasOrderDate|http://www.owl-ontologies.com/Hospital.rdf#hasPaymentAmount|http://www.owl-ontologies.com/Hospital.rdf#hasRelantionshipType|http://www.owl-ontologies.com/Hospital.rdf#hasSpeciality|http://www.owl-ontologies.com/Hospital.rdf#hasTotalBill|http://www.owl-ontologies.com/Hospital.rdf#hasTotalCost|http://www.owl-ontologies.com/Hospital.rdf#hasUpdateDate|http://www.owl-ontologies.com/Hospital.rdf#infrastructureHasID|http://www.owl-ontologies.com/Hospital.rdf#isPatientType|http://www.owl-ontologies.com/Hospital.rdf#patientAge|http://www.owl-ontologies.com/Hospital.rdf#patientDateAdmitted|http://www.owl-ontologies.com/Hospital.rdf#patientDateDischarged|http://www.owl-ontologies.com/Hospital.rdf#patientWeight|http://www.owl-ontologies.com/Hospital.rdf#personHasAddress|http://www.owl-ontologies.com/Hospital.rdf#personHasID|http://www.owl-ontologies.com/Hospital.rdf#personHasName|http://www.owl-ontologies.com/Hospital.rdf#personHasPhone|http://www.owl-ontologies.com/Hospital.rdf#roomHasSize|http://www.owl-ontologies.com/Hospital.rdf#theDoctorComments
reference_to_generated,relations_where_ro_could_not_be_computed,32,bedHasSize: http://www.owl-ontologies.com/Hospital.rdf#bedHasSize against all_target_properties (source_range_not_class)|currentPatientState: http://www.owl-ontologies.com/Hospital.rdf#currentPatientState against all_target_properties (source_range_not_class)|departmentHasName: http://www.owl-ontologies.com/Hospital.rdf#departmentHasName against all_target_properties (source_range_not_class)|departmentHasPhone: http://www.owl-ontologies.com/Hospital.rdf#departmentHasPhone against all_target_properties (source_range_not_class)|givenInstructions: http://www.owl-ontologies.com/Hospital.rdf#givenInstructions against all_target_properties (source_range_not_class)|givenPillName: http://www.owl-ontologies.com/Hospital.rdf#givenPillName against all_target_properties (source_range_not_class)|hasAccountID: http://www.owl-ontologies.com/Hospital.rdf#hasAccountID against all_target_properties (source_range_not_class)|hasAppointedDate: http://www.owl-ontologies.com/Hospital.rdf#hasAppointedDate against all_target_properties (source_range_not_class)|hasAppointmentID: http://www.owl-ontologies.com/Hospital.rdf#hasAppointmentID against all_target_properties (source_range_not_class)|hasHistoryRecID: http://www.owl-ontologies.com/Hospital.rdf#hasHistoryRecID against all_target_properties (source_range_not_class)|hasHistoryUpdateID: http://www.owl-ontologies.com/Hospital.rdf#hasHistoryUpdateID against all_target_properties (source_range_not_class)|hasMedicalCase: http://www.owl-ontologies.com/Hospital.rdf#hasMedicalCase against all_target_properties (source_range_not_class)|hasOrderDate: http://www.owl-ontologies.com/Hospital.rdf#hasOrderDate against all_target_properties (source_range_not_class)|hasPaymentAmount: http://www.owl-ontologies.com/Hospital.rdf#hasPaymentAmount against all_target_properties (source_range_not_class)|hasRelantionshipType: http://www.owl-ontologies.com/Hospital.rdf#hasRelantionshipType against all_target_properties (source_range_not_class)|hasSpeciality: http://www.owl-ontologies.com/Hospital.rdf#hasSpeciality against all_target_properties (source_range_not_class)|hasTotalBill: http://www.owl-ontologies.com/Hospital.rdf#hasTotalBill against all_target_properties (source_range_not_class)|hasTotalCost: http://www.owl-ontologies.com/Hospital.rdf#hasTotalCost against all_target_properties (source_range_not_class)|hasUpdateDate: http://www.owl-ontologies.com/Hospital.rdf#hasUpdateDate against all_target_properties (source_range_not_class)|infrastructureHasID: http://www.owl-ontologies.com/Hospital.rdf#infrastructureHasID against all_target_properties (source_range_not_class)|isPatientType: http://www.owl-ontologies.com/Hospital.rdf#isPatientType against all_target_properties (source_range_not_class)|patientAge: http://www.owl-ontologies.com/Hospital.rdf#patientAge against all_target_properties (source_range_not_class)|patientDateAdmitted: http://www.owl-ontologies.com/Hospital.rdf#patientDateAdmitted against all_target_properties (source_range_not_class)|patientDateDischarged: http://www.owl-ontologies.com/Hospital.rdf#patientDateDischarged against all_target_properties (source_range_not_class)|patientGender: http://www.owl-ontologies.com/Hospital.rdf#patientGender against all_target_properties (source_missing_range)|patientWeight: http://www.owl-ontologies.com/Hospital.rdf#patientWeight against all_target_properties (source_range_not_class)|personHasAddress: http://www.owl-ontologies.com/Hospital.rdf#personHasAddress against all_target_properties (source_range_not_class)|personHasID: http://www.owl-ontologies.com/Hospital.rdf#personHasID against all_target_properties (source_range_not_class)|personHasName: http://www.owl-ontologies.com/Hospital.rdf#personHasName against all_target_properties (source_range_not_class)|personHasPhone: http://www.owl-ontologies.com/Hospital.rdf#personHasPhone against all_target_properties (source_range_not_class)|roomHasSize: http://www.owl-ontologies.com/Hospital.rdf#roomHasSize against all_target_properties (source_range_not_class)|theDoctorComments: http://www.owl-ontologies.com/Hospital.rdf#theDoctorComments against all_target_properties (source_range_not_class)
